mode,tc,lambda,reward,time,t_size
restricted,small_1,3,21.3800,0.1082,318816
original,small_1,3,21.3800,0.2617,896670
relaxed,small_1,3,21.3800,0.1166,318816
restricted,small_2,3,28.0000,0.0885,318816
original,small_2,3,30.0000,0.2585,896670
relaxed,small_2,3,33.0000,0.1152,318816
restricted,small_3,3,20.0000,0.0885,318816
original,small_3,3,20.0000,0.2335,896670
relaxed,small_3,3,20.0000,0.1011,318816
restricted,small_4,3,21.0000,0.0914,318816
original,small_4,3,23.0000,0.2653,896670
relaxed,small_4,3,23.0000,0.1206,318816
restricted,small_5,3,15.0000,0.0755,318816
original,small_5,3,15.0000,0.2176,896670
relaxed,small_5,3,15.0000,0.0981,318816
restricted,small_6,3,27.0000,0.0886,318816
original,small_6,3,28.0000,0.2605,896670
relaxed,small_6,3,28.0000,0.1145,318816
restricted,small_7,3,18.7600,0.0806,318816
original,small_7,3,20.7600,0.2324,896670
relaxed,small_7,3,20.7600,0.1013,318816
restricted,small_8,3,19.0000,0.0795,318816
original,small_8,3,19.0000,0.2249,896670
relaxed,small_8,3,19.0000,0.0993,318816
restricted,small_9,3,22.8900,0.0839,318816
original,small_9,3,22.8900,0.2328,896670
relaxed,small_9,3,22.8900,0.1021,318816
restricted,small_10,3,19.5900,0.0843,318816
original,small_10,3,20.0000,0.2443,896670
relaxed,small_10,3,21.0000,0.1071,318816
restricted,small_11,3,21.0000,0.0898,318816
original,small_11,3,21.0000,0.2480,896670
relaxed,small_11,3,21.3800,0.1097,318816
restricted,small_12,3,20.0000,0.0812,318816
original,small_12,3,21.0000,0.2309,896670
relaxed,small_12,3,21.0000,0.1017,318816
restricted,small_13,3,25.0000,0.0946,318816
original,small_13,3,28.0000,0.2747,896670
relaxed,small_13,3,28.0000,0.1152,318816
restricted,small_14,3,28.0000,0.0888,318816
original,small_14,3,30.0000,0.2546,896670
relaxed,small_14,3,30.0000,0.1145,318816
restricted,small_15,3,18.0000,0.0779,318816
original,small_15,3,19.0000,0.2262,896670
relaxed,small_15,3,19.0000,0.0992,318816
restricted,small_16,3,24.0000,0.0807,318816
original,small_16,3,24.0000,0.2320,896670
relaxed,small_16,3,24.0000,0.1021,318816
restricted,small_17,3,10.0000,0.0781,318816
original,small_17,3,10.0000,0.2133,896670
relaxed,small_17,3,10.0000,0.0908,318816
restricted,small_18,3,20.0000,0.0868,318816
original,small_18,3,20.0000,0.2523,896670
relaxed,small_18,3,20.0000,0.1126,318816
restricted,small_19,3,25.0000,0.0937,318816
original,small_19,3,29.0000,0.2716,896670
relaxed,small_19,3,29.0000,0.1296,318816
restricted,small_20,3,20.0000,0.0982,318816
original,small_20,3,23.0000,0.2699,896670
relaxed,small_20,3,23.0000,0.1223,318816
restricted,small_21,3,30.0000,0.0917,318816
original,small_21,3,30.2700,0.2498,896670
relaxed,small_21,3,30.2700,0.1154,318816
restricted,small_22,3,26.0000,0.0912,318816
original,small_22,3,27.0000,0.2591,896670
relaxed,small_22,3,27.0000,0.1133,318816
restricted,small_23,3,25.0000,0.0863,318816
original,small_23,3,27.0000,0.2486,896670
relaxed,small_23,3,27.0000,0.1099,318816
restricted,small_24,3,23.0000,0.0789,318816
original,small_24,3,26.0000,0.2287,896670
relaxed,small_24,3,26.0000,0.1002,318816
restricted,small_25,3,24.8900,0.0885,318816
original,small_25,3,24.8900,0.2615,896670
relaxed,small_25,3,24.8900,0.1176,318816
restricted,small_26,3,20.5700,0.0810,318816
original,small_26,3,20.5700,0.2339,896670
relaxed,small_26,3,20.5700,0.1022,318816
restricted,small_27,3,23.2500,0.0920,318816
original,small_27,3,25.0000,0.2520,896670
relaxed,small_27,3,25.0000,0.1119,318816
restricted,small_28,3,30.0000,0.0872,318816
original,small_28,3,30.0000,0.2544,896670
relaxed,small_28,3,31.7900,0.1117,318816
restricted,small_29,3,19.9900,0.0824,318816
original,small_29,3,21.0000,0.2385,896670
relaxed,small_29,3,21.0000,0.1043,318816
restricted,small_30,3,18.2100,0.0931,318816
original,small_30,3,18.4500,0.2714,896670
relaxed,small_30,3,19.2100,0.1212,318816
restricted,small_31,3,23.1400,0.0887,318816
original,small_31,3,23.1400,0.2518,896670
relaxed,small_31,3,23.1400,0.1116,318816
restricted,small_32,3,21.0000,0.0888,318816
original,small_32,3,23.0000,0.2362,896670
relaxed,small_32,3,23.0000,0.1041,318816
restricted,small_33,3,24.5700,0.0823,318816
original,small_33,3,25.0000,0.2379,896670
relaxed,small_33,3,25.0000,0.1018,318816
restricted,small_34,3,21.0700,0.0910,318816
original,small_34,3,21.0700,0.2594,896670
relaxed,small_34,3,21.0700,0.1142,318816
restricted,small_35,3,21.0000,0.0825,318816
original,small_35,3,22.0000,0.2371,896670
relaxed,small_35,3,22.0000,0.1127,318816
restricted,small_36,3,22.0000,0.0831,318816
original,small_36,3,22.0000,0.2415,896670
relaxed,small_36,3,22.0000,0.1064,318816
restricted,small_37,3,25.0000,0.0848,318816
original,small_37,3,27.0000,0.2450,896670
relaxed,small_37,3,27.0000,0.1097,318816
restricted,small_38,3,20.0000,0.0852,318816
original,small_38,3,20.0000,0.2459,896670
relaxed,small_38,3,20.0000,0.1094,318816
restricted,small_39,3,26.0000,0.0869,318816
original,small_39,3,26.0000,0.2524,896670
relaxed,small_39,3,26.0000,0.1103,318816
restricted,small_40,3,18.0000,0.0800,318816
original,small_40,3,19.0000,0.2353,896670
relaxed,small_40,3,20.0000,0.1101,318816
restricted,small_41,3,22.0000,0.0923,318816
original,small_41,3,22.0000,0.2520,896670
relaxed,small_41,3,22.0000,0.1118,318816
restricted,small_42,3,25.0000,0.0877,318816
original,small_42,3,25.0000,0.2513,896670
relaxed,small_42,3,25.0000,0.1119,318816
restricted,small_43,3,16.4000,0.0942,318816
original,small_43,3,16.4000,0.2550,896670
relaxed,small_43,3,16.4000,0.1117,318816
restricted,small_44,3,26.0000,0.0896,318816
original,small_44,3,29.0000,0.2524,896670
relaxed,small_44,3,29.0000,0.1129,318816
restricted,small_45,3,17.0000,0.0815,318816
original,small_45,3,17.1300,0.2345,896670
relaxed,small_45,3,20.0000,0.1031,318816
restricted,small_46,3,15.0000,0.0792,318816
original,small_46,3,15.0000,0.2271,896670
relaxed,small_46,3,15.0000,0.1024,318816
restricted,small_47,3,28.0000,0.0884,318816
original,small_47,3,28.0000,0.2544,896670
relaxed,small_47,3,29.0000,0.1152,318816
restricted,small_48,3,17.7900,0.0817,318816
original,small_48,3,17.7900,0.2331,896670
relaxed,small_48,3,17.9700,0.1025,318816
restricted,small_49,3,25.0000,0.0880,318816
original,small_49,3,25.0000,0.2596,896670
relaxed,small_49,3,25.0000,0.1140,318816
restricted,small_50,3,21.3900,0.0874,318816
original,small_50,3,22.5700,0.2569,896670
relaxed,small_50,3,22.5700,0.1152,318816
restricted,small_51,3,26.0000,0.0822,318816
original,small_51,3,26.0000,0.2375,896670
relaxed,small_51,3,26.0000,0.1010,318816
restricted,small_52,3,24.0000,0.0944,318816
original,small_52,3,24.0000,0.2691,896670
relaxed,small_52,3,24.0000,0.1221,318816
restricted,small_53,3,25.0000,0.0956,318816
original,small_53,3,26.0000,0.2634,896670
relaxed,small_53,3,26.0000,0.1216,318816
restricted,small_54,3,23.0000,0.0910,318816
original,small_54,3,27.0000,0.2719,896670
relaxed,small_54,3,29.9400,0.1205,318816
restricted,small_55,3,20.2600,0.0795,318816
original,small_55,3,20.2600,0.2267,896670
relaxed,small_55,3,20.2600,0.0986,318816
restricted,small_56,3,25.0000,0.0895,318816
original,small_56,3,27.4200,0.2625,896670
relaxed,small_56,3,27.4200,0.1310,318816
restricted,small_57,3,17.4900,0.0889,318816
original,small_57,3,19.0000,0.2624,896670
relaxed,small_57,3,19.0000,0.1145,318816
restricted,small_58,3,27.0000,0.0903,318816
original,small_58,3,27.0000,0.2663,896670
relaxed,small_58,3,28.0000,0.1176,318816
restricted,small_59,3,16.0000,0.0758,318816
original,small_59,3,16.0000,0.2158,896670
relaxed,small_59,3,16.0000,0.0926,318816
restricted,small_60,3,19.6500,0.0847,318816
original,small_60,3,20.6600,0.2462,896670
relaxed,small_60,3,20.6600,0.1090,318816
restricted,small_61,3,27.0000,0.0943,318816
original,small_61,3,27.0000,0.2731,896670
relaxed,small_61,3,27.0000,0.1223,318816
restricted,small_62,3,24.0000,0.0998,318816
original,small_62,3,26.7700,0.2730,896670
relaxed,small_62,3,28.4300,0.1288,318816
restricted,small_63,3,28.0000,0.0874,318816
original,small_63,3,28.0000,0.2552,896670
relaxed,small_63,3,28.0000,0.1129,318816
restricted,small_64,3,29.0000,0.0925,318816
original,small_64,3,29.9100,0.2631,896670
relaxed,small_64,3,29.9100,0.1179,318816
restricted,small_65,3,19.0000,0.0772,318816
original,small_65,3,20.7400,0.2233,896670
relaxed,small_65,3,20.7400,0.0966,318816
restricted,small_66,3,25.0000,0.0862,318816
original,small_66,3,25.7100,0.2507,896670
relaxed,small_66,3,30.0000,0.1123,318816
restricted,small_67,3,18.0000,0.0825,318816
original,small_67,3,19.3800,0.2387,896670
relaxed,small_67,3,19.3800,0.1110,318816
restricted,small_68,3,24.0000,0.0868,318816
original,small_68,3,28.0000,0.2510,896670
relaxed,small_68,3,28.0000,0.1109,318816
restricted,small_69,3,21.0000,0.0830,318816
original,small_69,3,21.0000,0.2398,896670
relaxed,small_69,3,21.0000,0.1042,318816
restricted,small_70,3,30.0000,0.0945,318816
original,small_70,3,33.0000,0.2743,896670
relaxed,small_70,3,33.0000,0.1233,318816
restricted,small_71,3,19.0000,0.0844,318816
original,small_71,3,19.0000,0.2389,896670
relaxed,small_71,3,19.0000,0.1053,318816
restricted,small_72,3,22.0000,0.0935,318816
original,small_72,3,22.0000,0.2703,896670
relaxed,small_72,3,22.1000,0.1206,318816
restricted,small_73,3,19.3500,0.0799,318816
original,small_73,3,19.8100,0.2279,896670
relaxed,small_73,3,19.8100,0.0993,318816
restricted,small_74,3,25.6600,0.0890,318816
original,small_74,3,29.2700,0.2886,896670
relaxed,small_74,3,29.2700,0.1121,318816
restricted,small_75,3,24.0000,0.0879,318816
original,small_75,3,24.0000,0.2615,896670
relaxed,small_75,3,24.0000,0.1189,318816
restricted,small_76,3,24.0000,0.0986,318816
original,small_76,3,26.0000,0.2651,896670
relaxed,small_76,3,28.0000,0.1196,318816
restricted,small_77,3,26.0600,0.0872,318816
original,small_77,3,26.0600,0.2489,896670
relaxed,small_77,3,26.0600,0.1224,318816
restricted,small_78,3,31.0600,0.0938,318816
original,small_78,3,31.0600,0.2602,896670
relaxed,small_78,3,31.0600,0.1161,318816
restricted,small_79,3,24.4300,0.0895,318816
original,small_79,3,24.4300,0.2655,896670
relaxed,small_79,3,24.4300,0.1167,318816
restricted,small_80,3,21.4400,0.0856,318816
original,small_80,3,21.4400,0.2432,896670
relaxed,small_80,3,21.4400,0.1074,318816
restricted,small_81,3,28.0000,0.0903,318816
original,small_81,3,28.8200,0.2626,896670
relaxed,small_81,3,31.0000,0.1162,318816
restricted,small_82,3,24.0000,0.0895,318816
original,small_82,3,24.0000,0.2586,896670
relaxed,small_82,3,24.0000,0.1237,318816
restricted,small_83,3,26.0000,0.0849,318816
original,small_83,3,26.0000,0.2374,896670
relaxed,small_83,3,30.0000,0.1047,318816
restricted,small_84,3,33.0000,0.0961,318816
original,small_84,3,36.0000,0.2814,896670
relaxed,small_84,3,39.0000,0.1301,318816
restricted,small_85,3,17.5600,0.0888,318816
original,small_85,3,21.5600,0.2368,896670
relaxed,small_85,3,21.9800,0.1090,318816
restricted,small_86,3,34.0000,0.0944,318816
original,small_86,3,35.0000,0.2679,896670
relaxed,small_86,3,38.0000,0.1227,318816
restricted,small_87,3,23.0000,0.0839,318816
original,small_87,3,23.0000,0.2403,896670
relaxed,small_87,3,23.0000,0.1040,318816
restricted,small_88,3,29.0000,0.0950,318816
original,small_88,3,30.0000,0.2769,896670
relaxed,small_88,3,31.0000,0.1229,318816
restricted,small_89,3,22.0000,0.0924,318816
original,small_89,3,26.0000,0.2699,896670
relaxed,small_89,3,26.9500,0.1221,318816
restricted,small_90,3,27.0000,0.0867,318816
original,small_90,3,27.0000,0.2498,896670
relaxed,small_90,3,27.0000,0.1120,318816
restricted,small_91,3,26.0000,0.0878,318816
original,small_91,3,27.0000,0.2300,896670
relaxed,small_91,3,27.0000,0.1070,318816
restricted,small_92,3,19.0000,0.0838,318816
original,small_92,3,19.0000,0.2417,896670
relaxed,small_92,3,19.0000,0.1128,318816
restricted,small_93,3,26.0000,0.0856,318816
original,small_93,3,27.0000,0.2491,896670
relaxed,small_93,3,27.0000,0.1123,318816
restricted,small_94,3,20.0000,0.0832,318816
original,small_94,3,20.0000,0.2398,896670
relaxed,small_94,3,20.0000,0.1167,318816
restricted,small_95,3,25.0000,0.0916,318816
original,small_95,3,25.0000,0.2655,896670
relaxed,small_95,3,25.0000,0.1176,318816
restricted,small_96,3,20.4900,0.0738,318816
original,small_96,3,20.4900,0.2178,896670
relaxed,small_96,3,20.4900,0.0914,318816
restricted,small_97,3,22.0000,0.0818,318816
original,small_97,3,22.0000,0.2357,896670
relaxed,small_97,3,22.0000,0.1051,318816
restricted,small_98,3,17.0700,0.0826,318816
original,small_98,3,17.0700,0.2419,896670
relaxed,small_98,3,17.0700,0.1030,318816
restricted,small_99,3,27.0000,0.0872,318816
original,small_99,3,27.0000,0.2548,896670
relaxed,small_99,3,27.0000,0.1107,318816
restricted,small_100,3,30.0000,0.0930,318816
original,small_100,3,30.0000,0.2683,896670
relaxed,small_100,3,32.7800,0.1218,318816
restricted,small_101,3,24.0000,0.0929,318816
original,small_101,3,26.0000,0.2767,896670
relaxed,small_101,3,26.0000,0.1207,318816
restricted,small_102,3,22.0000,0.0872,318816
original,small_102,3,22.4800,0.2562,896670
relaxed,small_102,3,22.4800,0.1210,318816
restricted,small_103,3,19.1700,0.0818,318816
original,small_103,3,21.0000,0.2309,896670
relaxed,small_103,3,21.0000,0.0990,318816
restricted,small_104,3,26.0000,0.0902,318816
original,small_104,3,26.0000,0.2548,896670
relaxed,small_104,3,30.0000,0.1217,318816
restricted,small_105,3,16.2600,0.0770,318816
original,small_105,3,16.2600,0.2236,896670
relaxed,small_105,3,16.2600,0.0974,318816
restricted,small_106,3,23.0000,0.0856,318816
original,small_106,3,24.2200,0.2481,896670
relaxed,small_106,3,24.2200,0.1113,318816
restricted,small_107,3,21.0100,0.0898,318816
original,small_107,3,21.0100,0.2538,896670
relaxed,small_107,3,21.0100,0.1124,318816
restricted,small_108,3,20.0000,0.0832,318816
original,small_108,3,20.0000,0.2392,896670
relaxed,small_108,3,21.3700,0.0995,318816
restricted,small_109,3,21.8200,0.0902,318816
original,small_109,3,21.8200,0.2628,896670
relaxed,small_109,3,21.8200,0.1146,318816
restricted,small_110,3,29.0000,0.0845,318816
original,small_110,3,31.0000,0.2501,896670
relaxed,small_110,3,31.0000,0.1067,318816
restricted,small_111,3,20.0000,0.0758,318816
original,small_111,3,20.0000,0.2196,896670
relaxed,small_111,3,20.0000,0.1038,318816
restricted,small_112,3,14.2500,0.0863,318816
original,small_112,3,14.2500,0.2504,896670
relaxed,small_112,3,14.2500,0.1174,318816
restricted,small_113,3,18.0000,0.0838,318816
original,small_113,3,18.0000,0.2428,896670
relaxed,small_113,3,18.0000,0.1054,318816
restricted,small_114,3,24.0000,0.0792,318816
original,small_114,3,24.0000,0.2292,896670
relaxed,small_114,3,24.0000,0.0996,318816
restricted,small_115,3,27.9900,0.0945,318816
original,small_115,3,27.9900,0.2746,896670
relaxed,small_115,3,27.9900,0.1221,318816
restricted,small_116,3,16.0000,0.0822,318816
original,small_116,3,16.0000,0.2366,896670
relaxed,small_116,3,16.0000,0.1040,318816
restricted,small_117,3,25.0000,0.0887,318816
original,small_117,3,27.0000,0.3492,896670
relaxed,small_117,3,28.0000,0.1150,318816
restricted,small_118,3,30.0000,0.0930,318816
original,small_118,3,30.0000,0.2710,896670
relaxed,small_118,3,34.0000,0.1201,318816
restricted,small_119,3,29.0000,0.1060,318816
original,small_119,3,29.0000,0.2779,896670
relaxed,small_119,3,31.0000,0.1261,318816
