mode,tc,lambda,reward,time,t_size
restricted,small_1,3,19.0000,0.0478,318816
original,small_1,3,19.0000,0.1207,896670
relaxed,small_1,3,19.0000,0.0462,318816
restricted,small_2,3,28.0000,0.0479,318816
original,small_2,3,30.0000,0.1274,896670
relaxed,small_2,3,33.0000,0.0488,318816
restricted,small_3,3,20.0000,0.0416,318816
original,small_3,3,20.0000,0.1155,896670
relaxed,small_3,3,20.0000,0.0431,318816
restricted,small_4,3,21.0000,0.0435,318816
original,small_4,3,23.0000,0.1211,896670
relaxed,small_4,3,23.0000,0.0467,318816
restricted,small_5,3,15.0000,0.0424,318816
original,small_5,3,15.0000,0.1134,896670
relaxed,small_5,3,15.0000,0.0420,318816
restricted,small_6,3,27.0000,0.0420,318816
original,small_6,3,28.0000,0.1164,896670
relaxed,small_6,3,28.0000,0.0437,318816
restricted,small_7,3,17.0000,0.0410,318816
original,small_7,3,17.0000,0.1114,896670
relaxed,small_7,3,17.0000,0.0417,318816
restricted,small_8,3,19.0000,0.0436,318816
original,small_8,3,19.0000,0.1154,896670
relaxed,small_8,3,19.0000,0.0460,318816
restricted,small_9,3,20.0000,0.0397,318816
original,small_9,3,20.0000,0.1113,896670
relaxed,small_9,3,20.0000,0.0439,318816
restricted,small_10,3,19.0000,0.0451,318816
original,small_10,3,20.0000,0.1219,896670
relaxed,small_10,3,21.0000,0.0453,318816
restricted,small_11,3,21.0000,0.0478,318816
original,small_11,3,21.0000,0.1129,896670
relaxed,small_11,3,21.0000,0.0419,318816
restricted,small_12,3,20.0000,0.0464,318816
original,small_12,3,21.0000,0.1174,896670
relaxed,small_12,3,21.0000,0.0416,318816
restricted,small_13,3,25.0000,0.0461,318816
original,small_13,3,28.0000,0.1243,896670
relaxed,small_13,3,28.0000,0.0499,318816
restricted,small_14,3,28.0000,0.0443,318816
original,small_14,3,30.0000,0.1210,896670
relaxed,small_14,3,30.0000,0.0504,318816
restricted,small_15,3,18.0000,0.0393,318816
original,small_15,3,19.0000,0.1120,896670
relaxed,small_15,3,19.0000,0.0407,318816
restricted,small_16,3,24.0000,0.0387,318816
original,small_16,3,24.0000,0.1072,896670
relaxed,small_16,3,24.0000,0.0414,318816
restricted,small_17,3,10.0000,0.0382,318816
original,small_17,3,10.0000,0.1015,896670
relaxed,small_17,3,10.0000,0.0375,318816
restricted,small_18,3,20.0000,0.0435,318816
original,small_18,3,20.0000,0.1226,896670
relaxed,small_18,3,20.0000,0.0443,318816
restricted,small_19,3,25.0000,0.0445,318816
original,small_19,3,29.0000,0.1230,896670
relaxed,small_19,3,29.0000,0.0467,318816
restricted,small_20,3,20.0000,0.0451,318816
original,small_20,3,23.0000,0.1260,896670
relaxed,small_20,3,23.0000,0.0488,318816
restricted,small_21,3,30.0000,0.0433,318816
original,small_21,3,30.0000,0.1168,896670
relaxed,small_21,3,30.0000,0.0441,318816
restricted,small_22,3,26.0000,0.0404,318816
original,small_22,3,27.0000,0.1120,896670
relaxed,small_22,3,27.0000,0.0491,318816
restricted,small_23,3,25.0000,0.0456,318816
original,small_23,3,27.0000,0.1109,896670
relaxed,small_23,3,27.0000,0.0421,318816
restricted,small_24,3,23.0000,0.0388,318816
original,small_24,3,26.0000,0.1024,896670
relaxed,small_24,3,26.0000,0.0394,318816
restricted,small_25,3,22.0000,0.0464,318816
original,small_25,3,22.0000,0.1205,896670
relaxed,small_25,3,24.0000,0.0458,318816
restricted,small_26,3,19.0000,0.0390,318816
original,small_26,3,19.0000,0.1144,896670
relaxed,small_26,3,19.0000,0.0407,318816
restricted,small_27,3,21.0000,0.0468,318816
original,small_27,3,25.0000,0.1262,896670
relaxed,small_27,3,25.0000,0.0439,318816
restricted,small_28,3,30.0000,0.0424,318816
original,small_28,3,30.0000,0.1172,896670
relaxed,small_28,3,30.0000,0.0439,318816
restricted,small_29,3,18.0000,0.0430,318816
original,small_29,3,21.0000,0.1193,896670
relaxed,small_29,3,21.0000,0.0443,318816
restricted,small_30,3,17.0000,0.0423,318816
original,small_30,3,17.0000,0.1176,896670
relaxed,small_30,3,18.0000,0.0471,318816
restricted,small_31,3,21.0000,0.0433,318816
original,small_31,3,21.0000,0.1265,896670
relaxed,small_31,3,21.0000,0.0479,318816
restricted,small_32,3,21.0000,0.0432,318816
original,small_32,3,23.0000,0.1099,896670
relaxed,small_32,3,23.0000,0.0466,318816
restricted,small_33,3,24.0000,0.0414,318816
original,small_33,3,25.0000,0.1160,896670
relaxed,small_33,3,25.0000,0.0431,318816
restricted,small_34,3,19.0000,0.0433,318816
original,small_34,3,19.0000,0.1226,896670
relaxed,small_34,3,19.0000,0.0501,318816
restricted,small_35,3,21.0000,0.0400,318816
original,small_35,3,22.0000,0.1093,896670
relaxed,small_35,3,22.0000,0.0413,318816
restricted,small_36,3,22.0000,0.0424,318816
original,small_36,3,22.0000,0.1132,896670
relaxed,small_36,3,22.0000,0.0424,318816
restricted,small_37,3,25.0000,0.0467,318816
original,small_37,3,27.0000,0.1188,896670
relaxed,small_37,3,27.0000,0.0440,318816
restricted,small_38,3,20.0000,0.0440,318816
original,small_38,3,20.0000,0.1184,896670
relaxed,small_38,3,20.0000,0.0447,318816
restricted,small_39,3,26.0000,0.0428,318816
original,small_39,3,26.0000,0.1178,896670
relaxed,small_39,3,26.0000,0.0450,318816
restricted,small_40,3,18.0000,0.0366,318816
original,small_40,3,19.0000,0.1011,896670
relaxed,small_40,3,20.0000,0.0384,318816
restricted,small_41,3,22.0000,0.0552,318816
original,small_41,3,22.0000,0.1213,896670
relaxed,small_41,3,22.0000,0.0461,318816
restricted,small_42,3,25.0000,0.0445,318816
original,small_42,3,25.0000,0.1240,896670
relaxed,small_42,3,25.0000,0.0462,318816
restricted,small_43,3,14.0000,0.0436,318816
original,small_43,3,16.0000,0.1189,896670
relaxed,small_43,3,16.0000,0.0448,318816
restricted,small_44,3,26.0000,0.0464,318816
original,small_44,3,29.0000,0.1228,896670
relaxed,small_44,3,29.0000,0.0462,318816
restricted,small_45,3,17.0000,0.0399,318816
original,small_45,3,17.0000,0.1107,896670
relaxed,small_45,3,20.0000,0.0418,318816
restricted,small_46,3,15.0000,0.0384,318816
original,small_46,3,15.0000,0.1063,896670
relaxed,small_46,3,15.0000,0.0407,318816
restricted,small_47,3,28.0000,0.0424,318816
original,small_47,3,28.0000,0.1160,896670
relaxed,small_47,3,29.0000,0.0524,318816
restricted,small_48,3,16.0000,0.0359,318816
original,small_48,3,16.0000,0.1023,896670
relaxed,small_48,3,16.0000,0.0372,318816
restricted,small_49,3,25.0000,0.0447,318816
original,small_49,3,25.0000,0.1266,896670
relaxed,small_49,3,25.0000,0.0467,318816
restricted,small_50,3,21.0000,0.0409,318816
original,small_50,3,21.0000,0.1132,896670
relaxed,small_50,3,21.0000,0.0447,318816
restricted,small_51,3,26.0000,0.0410,318816
original,small_51,3,26.0000,0.1131,896670
relaxed,small_51,3,26.0000,0.0431,318816
restricted,small_52,3,24.0000,0.0446,318816
original,small_52,3,24.0000,0.1232,896670
relaxed,small_52,3,24.0000,0.0472,318816
restricted,small_53,3,25.0000,0.0435,318816
original,small_53,3,26.0000,0.1202,896670
relaxed,small_53,3,26.0000,0.0450,318816
restricted,small_54,3,23.0000,0.0448,318816
original,small_54,3,27.0000,0.1245,896670
relaxed,small_54,3,29.0000,0.0480,318816
restricted,small_55,3,20.0000,0.0381,318816
original,small_55,3,20.0000,0.1088,896670
relaxed,small_55,3,20.0000,0.0441,318816
restricted,small_56,3,25.0000,0.0450,318816
original,small_56,3,25.0000,0.1275,896670
relaxed,small_56,3,25.0000,0.0519,318816
restricted,small_57,3,17.0000,0.0459,318816
original,small_57,3,19.0000,0.1195,896670
relaxed,small_57,3,19.0000,0.0447,318816
restricted,small_58,3,27.0000,0.0457,318816
original,small_58,3,27.0000,0.1267,896670
relaxed,small_58,3,28.0000,0.0481,318816
restricted,small_59,3,16.0000,0.0395,318816
original,small_59,3,16.0000,0.0960,896670
relaxed,small_59,3,16.0000,0.0348,318816
restricted,small_60,3,18.0000,0.0405,318816
original,small_60,3,19.0000,0.1123,896670
relaxed,small_60,3,19.0000,0.0431,318816
restricted,small_61,3,27.0000,0.0482,318816
original,small_61,3,27.0000,0.1286,896670
relaxed,small_61,3,27.0000,0.0490,318816
restricted,small_62,3,24.0000,0.0441,318816
original,small_62,3,26.0000,0.1209,896670
relaxed,small_62,3,28.0000,0.0465,318816
restricted,small_63,3,28.0000,0.0434,318816
original,small_63,3,28.0000,0.1199,896670
relaxed,small_63,3,28.0000,0.0456,318816
restricted,small_64,3,29.0000,0.0451,318816
original,small_64,3,29.0000,0.1253,896670
relaxed,small_64,3,29.0000,0.0479,318816
restricted,small_65,3,19.0000,0.0401,318816
original,small_65,3,19.0000,0.1109,896670
relaxed,small_65,3,19.0000,0.0471,318816
restricted,small_66,3,25.0000,0.0420,318816
original,small_66,3,25.0000,0.1171,896670
relaxed,small_66,3,30.0000,0.0436,318816
restricted,small_67,3,18.0000,0.0403,318816
original,small_67,3,19.0000,0.1146,896670
relaxed,small_67,3,19.0000,0.0423,318816
restricted,small_68,3,24.0000,0.0464,318816
original,small_68,3,28.0000,0.1260,896670
relaxed,small_68,3,28.0000,0.0484,318816
restricted,small_69,3,21.0000,0.0442,318816
original,small_69,3,21.0000,0.1149,896670
relaxed,small_69,3,21.0000,0.0486,318816
restricted,small_70,3,30.0000,0.0711,318816
original,small_70,3,33.0000,0.2521,896670
relaxed,small_70,3,33.0000,0.0541,318816
restricted,small_71,3,19.0000,0.0418,318816
original,small_71,3,19.0000,0.1175,896670
relaxed,small_71,3,19.0000,0.0434,318816
restricted,small_72,3,22.0000,0.0442,318816
original,small_72,3,22.0000,0.1220,896670
relaxed,small_72,3,22.0000,0.0463,318816
restricted,small_73,3,19.0000,0.0377,318816
original,small_73,3,19.0000,0.0993,896670
relaxed,small_73,3,19.0000,0.0375,318816
restricted,small_74,3,24.0000,0.0455,318816
original,small_74,3,29.0000,0.1379,896670
relaxed,small_74,3,29.0000,0.0473,318816
restricted,small_75,3,24.0000,0.0425,318816
original,small_75,3,24.0000,0.1224,896670
relaxed,small_75,3,24.0000,0.0472,318816
restricted,small_76,3,24.0000,0.0455,318816
original,small_76,3,26.0000,0.1253,896670
relaxed,small_76,3,28.0000,0.0475,318816
restricted,small_77,3,25.0000,0.0439,318816
original,small_77,3,25.0000,0.1215,896670
relaxed,small_77,3,25.0000,0.0451,318816
restricted,small_78,3,29.0000,0.0441,318816
original,small_78,3,30.0000,0.1234,896670
relaxed,small_78,3,30.0000,0.0476,318816
restricted,small_79,3,22.0000,0.0454,318816
original,small_79,3,22.0000,0.1225,896670
relaxed,small_79,3,22.0000,0.0461,318816
restricted,small_80,3,20.0000,0.0399,318816
original,small_80,3,20.0000,0.1103,896670
relaxed,small_80,3,20.0000,0.0407,318816
restricted,small_81,3,28.0000,0.0442,318816
original,small_81,3,28.0000,0.1226,896670
relaxed,small_81,3,31.0000,0.0471,318816
restricted,small_82,3,24.0000,0.0456,318816
original,small_82,3,24.0000,0.1262,896670
